idade,educacao_mae,educacao_pai,tempo_estudo,tentativas_reprovacao,relacoes_familiares,tempo_livre,saida_amigos,nota1_uci,nota2_uci,resultado_uci,oulad_total_cliques,oulad_media_notas,num_avaliacoes_submetidas,nota_numeros_inteiros,nota_fracoes,nota_equacoes,nota_geometria_basica,nota_funcoes,nota_trigonometria,nota_probabilidade,nota_estatistica,genero,endereco,tamanho_familia,status_coabitacao,apoio_educacional,apoio_familia,internet_acesso,id_aluno_origem,origem_dado,code_module,code_presentation,resultado_final_curso_oulad,gender,age_band,disability
18.0,4.0,4.0,2.0,0.0,4.0,3.0,4.0,5.0,6.0,6.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,A,yes,no,no,584077,UCI,BBB,2014J,Pass,M,0-35,N
17.0,1.0,1.0,2.0,0.0,5.0,3.0,3.0,5.0,5.0,6.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,7.0,8.0,10.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,LE3,T,yes,no,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,4.0,2.0,3.0,0.0,3.0,2.0,2.0,15.0,14.0,15.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
16.0,3.0,3.0,2.0,0.0,4.0,3.0,2.0,6.0,10.0,10.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,T,no,yes,no,584077,UCI,BBB,2014J,Pass,M,0-35,N
16.0,4.0,3.0,2.0,0.0,5.0,4.0,2.0,15.0,15.0,15.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,M,U,LE3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
16.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,12.0,12.0,11.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,M,U,LE3,T,no,no,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
17.0,4.0,4.0,2.0,0.0,4.0,1.0,4.0,6.0,5.0,6.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,A,yes,yes,no,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,3.0,2.0,2.0,0.0,4.0,2.0,2.0,16.0,18.0,19.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,M,U,LE3,A,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,3.0,4.0,2.0,0.0,5.0,5.0,1.0,14.0,15.0,15.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,M,U,GT3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,4.0,4.0,2.0,0.0,3.0,3.0,3.0,10.0,8.0,9.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
15.0,2.0,1.0,3.0,0.0,5.0,2.0,2.0,10.0,12.0,12.0,602.0,70.22222222222248,5.0,6.347623400365609,6.3974405850091625,5.775776965265082,6.157495429616108,6.008043875685558,7.232632541133455,7.144332723948842,6.54259597806213,F,U,GT3,T,no,yes,yes,584077,UCI,BBB,2014J,Pass,M,0-35,N
